j,k,n_atoms,entropy,H_over_j,entropy_deficit,efficiency,min_gap,min_mean_ratio
2,1,6,1.7045514453,0.8522757226,0.0872080240,0.95132828,1,0.50000000
3,2,16,2.6299450516,0.8766483505,0.1426436706,0.94855217,1,0.22222222
4,3,42,3.5899118245,0.8974779561,0.1477577938,0.96046794,1,0.09722222
5,3,58,3.8863993068,0.7772798614,0.1740437037,0.95713677,1,0.06712963
6,4,144,4.7892812039,0.7982135340,0.1805320957,0.96367427,1,0.02777778
7,4,208,5.1683178876,0.7383311268,0.1692201921,0.96829621,1,0.02006173
8,5,498,6.0197641050,0.7524705131,0.1908359720,0.96927254,1,0.00800540
9,6,1240,6.9428355943,0.7714261771,0.1800310643,0.97472491,1,0.00332219
10,6,1752,7.2874266987,0.7287426699,0.1810865728,0.97575333,1,0.00234697
11,7,4234,8.1585069336,0.7416824485,0.1923955181,0.97696111,1,0.00094531
12,8,10656,9.1010457777,0.7584204815,0.1728326150,0.98136350,1,0.00039652
13,8,14752,9.4113649709,0.7239511516,0.1877689749,0.98043897,1,0.00027447
14,9,36066,10.3037073094,0.7359790935,0.1893985628,0.98195019,1,0.00011184
15,9,52450,10.6975464502,0.7131697633,0.1700691636,0.98435083,1,0.00008132
16,10,124584,11.5408630060,0.7213039379,0.1918724601,0.98364640,1,0.00003219
17,11,308218,12.4546878135,0.7326286949,0.1838747903,0.98545129,1,0.00001327
18,11,439290,12.8145303383,0.7119183521,0.1783847279,0.98627062,1,0.00000946
19,12,1055728,13.6766176483,0.7198219815,0.1931234860,0.98607591,1,0.00000379
20,13,2642898,14.6108065423,0.7305403271,0.1765800580,0.98805874,1,0.00000158
21,13,3691474,14.9362070160,0.7112479531,0.1853293783,0.98774401,1,0.00000110
22,14,8977272,15.8190344276,0.7190470194,0.1911721804,0.98805936,1,0.00000045
23,15,22737514,16.7714925892,0.7291953300,0.1680341284,0.99008035,1,0.00000019
24,15,31126122,17.0631630847,0.7109651285,0.1903948755,0.98896489,1,0.00000013
