n,cf_coeff,p_n,q_n,cell_error,abs_error,log10_error,ratio_to_baker
0,1,1,1,-5.849625007211562e-01,5.849625007211562e-01,-0.232872,0.0
1,1,2,1,4.150374992788438e-01,4.150374992788438e-01,-0.381913,0.415037
2,1,3,2,-1.699250014423124e-01,1.699250014423124e-01,-0.769743,5.929745
3,2,8,5,7.518749639421909e-02,7.518749639421909e-02,-1.123854,287.320687
4,2,19,12,-1.955000865387418e-02,1.955000865387418e-02,-1.708853,6636.679422
5,3,65,41,1.653747043259656e-02,1.653747043259656e-02,-1.781531,3047799.169714
6,1,84,53,-3.012538221277616e-03,3.012538221277616e-03,-2.521067,2069409.304285
7,5,485,306,1.474779326208459e-03,1.474779326208459e-03,-2.831273,8091878471.379669
8,2,1054,665,-6.297956886069933e-05,6.297956886069933e-05,-4.200800,18456978887.431345
9,23,24727,15601,2.624924241345639e-05,2.624924241345639e-05,-4.580883,81100403038783757.507812
10,2,50508,31867,-1.048108403622905e-05,1.048108403622905e-05,-4.979594,1259011660729738782.125000
11,2,125743,79335,5.287074344551002e-06,5.287074344551002e-06,-5.276785,68072648959130063612.000000
12,1,176251,111202,-5.194009688125334e-06,5.194009688125334e-06,-5.284497,377424267873266762720.000000
13,1,301994,190537,9.306464221481292e-08,9.306464221481292e-08,-7.031215,106826436700790988392.000000
14,55,16785921,10590737,-7.545349944848567e-08,7.545349944848567e-08,-7.122321,75932216304260487701801730048.000000
15,1,17087915,10781274,1.761145540513098e-08,1.761145540513098e-08,-7.754205,19419114636094527766729326592.000000
16,4,85137581,53715833,-5.013134796172380e-09,5.013134796172380e-09,-8.299891,20743581714526402978289020829696.000000
17,3,272500658,171928773,2.590240910649300e-09,2.590240910649300e-09,-8.586660,4163912049428599886364762068484096.000000
18,1,357638239,225644606,-2.444721758365631e-09,2.444721758365631e-09,-8.611771,15831874499853861212123669861498880.000000
19,1,630138897,397573379,1.164153218269348e-10,1.164153218269348e-10,-9.933990,13741172441049987530828436526333952.000000
20,16,10439860591,6586818670,0.000000000000000e+00,0.000000000000000e+00,-999.000000,0.000000
21,4,42389581261,26744848059,0.000000000000000e+00,0.000000000000000e+00,-999.000000,0.000000
22,4,179998185635,113566210906,0.000000000000000e+00,0.000000000000000e+00,-999.000000,0.000000
23,1,222387766896,140311058965,0.000000000000000e+00,0.000000000000000e+00,-999.000000,0.000000
24,4,1069549253219,674810446766,0.000000000000000e+00,0.000000000000000e+00,-999.000000,0.000000
25,32,34447963869904,21734245355477,0.000000000000000e+00,0.000000000000000e+00,-999.000000,0.000000
26,14,483341043431875,304954245423444,0.000000000000000e+00,0.000000000000000e+00,-999.000000,0.000000
27,1,517789007301779,326688490778921,0.000000000000000e+00,0.000000000000000e+00,-999.000000,0.000000
28,1,1001130050733654,631642736202365,0.000000000000000e+00,0.000000000000000e+00,-999.000000,0.000000
29,1,1518919058035433,958331226981286,0.000000000000000e+00,0.000000000000000e+00,-999.000000,0.000000
30,255,388325489849769069,245006105616430295,0.000000000000000e+00,0.000000000000000e+00,-999.000000,0.000000
