type,exponent,modulus,phi,order,index,predicted_order,match
2^j,1,2,1,1,1,1,1
2^j,2,4,2,2,1,2,1
2^j,3,8,4,2,2,2,1
2^j,4,16,8,4,2,4,1
2^j,5,32,16,8,2,8,1
2^j,6,64,32,16,2,16,1
2^j,7,128,64,32,2,32,1
2^j,8,256,128,64,2,64,1
2^j,9,512,256,128,2,128,1
2^j,10,1024,512,256,2,256,1
2^j,11,2048,1024,512,2,512,1
2^j,12,4096,2048,1024,2,1024,1
2^j,13,8192,4096,2048,2,2048,1
2^j,14,16384,8192,4096,2,4096,1
2^j,15,32768,16384,8192,2,8192,1
2^j,16,65536,32768,16384,2,16384,1
2^j,17,131072,65536,32768,2,32768,1
2^j,18,262144,131072,65536,2,65536,1
2^j,19,524288,262144,131072,2,131072,1
2^j,20,1048576,524288,262144,2,262144,1
2^j,21,2097152,1048576,524288,2,524288,1
2^j,22,4194304,2097152,1048576,2,1048576,1
2^j,23,8388608,4194304,2097152,2,2097152,1
2^j,24,16777216,8388608,4194304,2,4194304,1
2^j,25,33554432,16777216,8388608,2,8388608,1
2^j,26,67108864,33554432,16777216,2,16777216,1
2^j,27,134217728,67108864,33554432,2,33554432,1
2^j,28,268435456,134217728,67108864,2,67108864,1
2^j,29,536870912,268435456,134217728,2,134217728,1
2^j,30,1073741824,536870912,268435456,2,268435456,1
2^j,31,2147483648,1073741824,536870912,2,536870912,1
2^j,32,4294967296,2147483648,1073741824,2,1073741824,1
2^j,33,8589934592,4294967296,2147483648,2,2147483648,1
2^j,34,17179869184,8589934592,4294967296,2,4294967296,1
2^j,35,34359738368,17179869184,8589934592,2,8589934592,1
2^j,36,68719476736,34359738368,17179869184,2,17179869184,1
2^j,37,137438953472,68719476736,34359738368,2,34359738368,1
2^j,38,274877906944,137438953472,68719476736,2,68719476736,1
2^j,39,549755813888,274877906944,137438953472,2,137438953472,1
2^j,40,1099511627776,549755813888,274877906944,2,274877906944,1
3^k,1,3,2,2,1,2,1
3^k,2,9,6,6,1,6,1
3^k,3,27,18,18,1,18,1
3^k,4,81,54,54,1,54,1
3^k,5,243,162,162,1,162,1
3^k,6,729,486,486,1,486,1
3^k,7,2187,1458,1458,1,1458,1
3^k,8,6561,4374,4374,1,4374,1
3^k,9,19683,13122,13122,1,13122,1
3^k,10,59049,39366,39366,1,39366,1
3^k,11,177147,118098,118098,1,118098,1
3^k,12,531441,354294,354294,1,354294,1
3^k,13,1594323,1062882,1062882,1,1062882,1
3^k,14,4782969,3188646,3188646,1,3188646,1
3^k,15,14348907,9565938,9565938,1,9565938,1
3^k,16,43046721,28697814,28697814,1,28697814,1
3^k,17,129140163,86093442,86093442,1,86093442,1
3^k,18,387420489,258280326,258280326,1,258280326,1
3^k,19,1162261467,774840978,774840978,1,774840978,1
3^k,20,3486784401,2324522934,2324522934,1,2324522934,1
3^k,21,10460353203,6973568802,6973568802,1,6973568802,1
3^k,22,31381059609,20920706406,20920706406,1,20920706406,1
3^k,23,94143178827,62762119218,62762119218,1,62762119218,1
3^k,24,282429536481,188286357654,188286357654,1,188286357654,1
3^k,25,847288609443,564859072962,564859072962,1,564859072962,1
3^k,26,2541865828329,1694577218886,1694577218886,1,1694577218886,1
3^k,27,7625597484987,5083731656658,5083731656658,1,5083731656658,1
3^k,28,22876792454961,15251194969974,15251194969974,1,15251194969974,1
3^k,29,68630377364883,45753584909922,45753584909922,1,45753584909922,1
3^k,30,205891132094649,137260754729766,137260754729766,1,137260754729766,1
3^k,31,617673396283947,411782264189298,411782264189298,1,411782264189298,1
3^k,32,1853020188851841,1235346792567894,1235346792567894,1,1235346792567894,1
3^k,33,5559060566555523,3706040377703682,3706040377703682,1,3706040377703682,1
3^k,34,16677181699666569,11118121133111046,11118121133111046,1,11118121133111046,1
3^k,35,50031545098999707,33354363399333138,33354363399333138,1,33354363399333138,1
3^k,36,150094635296999121,100063090197999414,100063090197999414,1,100063090197999414,1
3^k,37,450283905890997363,300189270593998242,300189270593998242,1,300189270593998242,1
3^k,38,1350851717672992089,900567811781994726,900567811781994726,1,900567811781994726,1
3^k,39,4052555153018976267,2701703435345984178,2701703435345984178,1,2701703435345984178,1
3^k,40,12157665459056928801,8105110306037952534,8105110306037952534,1,8105110306037952534,1
