lag,C_emp,C_exact_1,C_exact_2,C_exact_3,C_exact_4,C_exact_5,C_sim_1,C_sim_2,C_sim_3,C_sim_4,C_sim_5
0,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
1,-0.497522872,-0.497503800,-0.497464363,-0.497589102,-0.497823905,-0.497752902,-0.498756032,-0.496177267,-0.498149785,-0.498562878,-0.499389748
2,0.259008834,0.247510031,0.251318604,0.251256632,0.250912510,0.251109589,0.248760424,0.251792546,0.250554139,0.249771141,0.253770049
3,-0.128658738,-0.123137181,-0.126926411,-0.134354807,-0.134508891,-0.134905030,-0.123907144,-0.127343875,-0.133700394,-0.133187621,-0.135279251
4,0.084460913,0.061261216,0.064103549,0.071548188,0.072379591,0.072669971,0.060784630,0.065429452,0.071972611,0.071140068,0.073761297
5,-0.024454192,-0.030477688,-0.032375173,-0.037962416,-0.038134469,-0.025201167,-0.029551258,-0.035205869,-0.038558197,-0.037837592,-0.028016031
6,0.020430486,0.015162765,0.016350917,0.020151357,0.020559428,0.007793557,0.013794236,0.018609897,0.019313062,0.019269884,0.010115901
7,0.004869213,-0.007543533,-0.008257948,-0.010699188,-0.011092318,-0.001833331,-0.005012639,-0.009171809,-0.009476950,-0.009845464,-0.003433789
8,0.020207959,0.003752937,0.004170635,0.005680410,0.005965961,-0.000684033,0.001563921,0.003858834,0.005762136,0.006020010,0.001519299
9,0.012692283,-0.001867100,-0.002106358,-0.003015804,-0.003207475,0.001359772,-0.000795083,0.000124173,-0.003689729,-0.001933767,0.000133711
10,0.005813944,0.000928889,0.001063805,0.001601135,0.001725757,-0.001034217,0.001322715,-0.000813263,0.001772130,-0.000590457,-0.001594029
11,0.020432703,-0.000462126,-0.000537270,-0.000850067,-0.000928044,0.000652734,-0.000459807,0.000775841,0.000430438,0.000725832,0.000955061
12,0.024307450,0.000229909,0.000271345,0.000451313,0.000499033,-0.000391494,0.001937239,-0.000901515,-0.001289737,-0.000903775,-0.000916746
13,0.008779987,-0.000114381,-0.000137042,-0.000239609,-0.000268372,0.000210028,-0.002484551,0.001138765,0.001297526,0.000367473,0.000110696
14,0.031619547,0.000056905,0.000069212,0.000127212,0.000144329,-0.000098141,0.002831009,-0.002433516,-0.000332541,-0.001217096,0.001030094
15,-0.011074022,-0.000028310,-0.000034955,-0.000067539,-0.000077618,0.000041767,-0.003527466,0.004136538,-0.000673979,0.001324415,-0.000094397
16,0.050253144,0.000014085,0.000017654,0.000035857,0.000041742,-0.000015525,0.000427939,-0.001971345,0.002390907,-0.002404288,0.001797432
17,-0.031609566,-0.000007007,-0.000008916,-0.000019037,-0.000022448,0.000003788,0.002879057,-0.000048355,-0.002735614,0.000569662,-0.001325944
18,0.046866506,0.000003486,0.000004503,0.000010107,0.000012072,0.000000509,-0.003929846,-0.000679008,0.002023439,0.001084172,0.002717844
19,-0.012169819,-0.000001734,-0.000002274,-0.000005366,-0.000006492,-0.000001457,0.003619706,0.001117663,-0.002742644,-0.000392304,-0.002971686
20,0.037188958,0.000000863,0.000001149,0.000002849,0.000003491,0.000001308,-0.001477732,-0.001606449,0.001457714,0.001176261,0.001081120
