k,kp,max_error,pass
1,2,0,1
1,3,0,1
1,4,0,1
1,6,0,1
1,8,0,1
1,9,0,1
1,12,0,1
1,16,0,1
1,18,0,1
1,24,0,1
1,27,0,1
1,36,0,1
1,48,0,1
1,54,0,1
1,72,0,1
1,81,0,1
1,108,0,1
1,144,0,1
1,162,0,1
1,216,0,1
1,324,0,1
1,432,0,1
1,648,0,1
1,1296,0,1
2,4,0,1
2,6,0,1
2,8,0,1
2,12,0,1
2,16,0,1
2,18,0,1
2,24,0,1
2,36,0,1
2,48,0,1
2,54,0,1
2,72,0,1
2,108,0,1
2,144,0,1
2,162,0,1
2,216,0,1
2,324,0,1
2,432,0,1
2,648,0,1
2,1296,0,1
3,6,0,1
3,9,0,1
3,12,0,1
3,18,0,1
3,24,0,1
3,27,0,1
3,36,0,1
3,48,0,1
3,54,0,1
3,72,0,1
3,81,0,1
3,108,0,1
3,144,0,1
3,162,0,1
3,216,0,1
3,324,0,1
3,432,0,1
3,648,0,1
3,1296,0,1
4,8,0,1
4,12,0,1
4,16,0,1
4,24,0,1
4,36,0,1
4,48,0,1
4,72,0,1
4,108,0,1
4,144,0,1
4,216,0,1
4,324,0,1
4,432,0,1
4,648,0,1
4,1296,0,1
6,12,0,1
6,18,0,1
6,24,0,1
6,36,0,1
6,48,0,1
6,54,0,1
6,72,0,1
6,108,0,1
6,144,0,1
6,162,0,1
6,216,0,1
6,324,0,1
6,432,0,1
6,648,0,1
6,1296,0,1
8,16,0,1
8,24,0,1
8,48,0,1
8,72,0,1
8,144,0,1
8,216,0,1
8,432,0,1
8,648,0,1
8,1296,0,1
9,18,0,1
9,27,0,1
9,36,0,1
9,54,0,1
9,72,0,1
9,81,0,1
9,108,0,1
9,144,0,1
9,162,0,1
9,216,0,1
9,324,0,1
9,432,0,1
9,648,0,1
9,1296,0,1
12,24,0,1
12,36,0,1
12,48,0,1
12,72,0,1
12,108,0,1
12,144,0,1
12,216,0,1
12,324,0,1
12,432,0,1
12,648,0,1
12,1296,0,1
16,48,0,1
16,144,0,1
16,432,0,1
16,1296,0,1
18,36,0,1
18,54,0,1
18,72,0,1
18,108,0,1
18,144,0,1
18,162,0,1
18,216,0,1
18,324,0,1
18,432,0,1
18,648,0,1
18,1296,0,1
24,48,0,1
24,72,0,1
24,144,0,1
24,216,0,1
24,432,0,1
24,648,0,1
24,1296,0,1
27,54,0,1
27,81,0,1
27,108,0,1
27,162,0,1
27,216,0,1
27,324,0,1
27,432,0,1
27,648,0,1
27,1296,0,1
36,72,0,1
36,108,0,1
36,144,0,1
36,216,0,1
36,324,0,1
36,432,0,1
36,648,0,1
36,1296,0,1
48,144,0,1
48,432,0,1
48,1296,0,1
54,108,0,1
54,162,0,1
54,216,0,1
54,324,0,1
54,432,0,1
54,648,0,1
54,1296,0,1
72,144,0,1
72,216,0,1
72,432,0,1
72,648,0,1
72,1296,0,1
81,162,0,1
81,324,0,1
81,648,0,1
81,1296,0,1
108,216,0,1
108,324,0,1
108,432,0,1
108,648,0,1
108,1296,0,1
144,432,0,1
144,1296,0,1
162,324,0,1
162,648,0,1
162,1296,0,1
216,432,0,1
216,648,0,1
216,1296,0,1
324,648,0,1
324,1296,0,1
432,1296,0,1
648,1296,0,1
