k,a,b,cells,nonzero,zero_cells,zero_frac,H,H_max,H_ratio,max_dens,min_dens,suppressed
1,0,0,1,1,0,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0
2,1,0,4,4,0,0.000000000,1.999979104,2.000000000,0.999989552,0.251535178,0.248206785,0
3,0,1,9,9,0,0.000000000,3.169830947,3.169925001,0.999970329,0.112576675,0.108990314,0
4,2,0,16,16,0,0.000000000,3.999621997,4.000000000,0.999905499,0.064156903,0.060064093,0
6,1,1,36,36,0,0.000000000,5.167864556,5.169925001,0.999601455,0.031028932,0.025023805,0
8,3,0,64,64,0,0.000000000,5.990345216,6.000000000,0.998390869,0.019684089,0.011707541,0
9,0,2,81,81,0,0.000000000,6.322459631,6.339850003,0.997256974,0.016766220,0.008311008,0
12,2,1,144,144,0,0.000000000,7.106979319,7.169925001,0.991220873,0.010951592,0.003173725,0
16,4,0,256,256,0,0.000000000,7.807874158,8.000000000,0.975984270,0.009113952,0.000968929,0
18,1,2,324,324,0,0.000000000,8.051556055,8.339850003,0.965431759,0.008777531,0.000514647,0
24,3,1,576,576,0,0.000000000,8.494601492,9.169925001,0.926354522,0.008399646,0.000065719,0
27,0,3,729,729,0,0.000000000,8.606626652,9.509775004,0.905029472,0.008340807,0.000017483,0
36,2,2,1296,1296,0,0.000000000,8.739151273,10.339850003,0.845191301,0.008296059,0.000000172,138
48,4,1,2304,2284,20,0.008680556,8.765461471,11.169925001,0.784737719,0.008292463,0.000000001,785
54,1,3,2916,2768,148,0.050754458,8.767154705,11.509775004,0.761713822,0.008292390,0.000000001,1213
72,3,2,5184,3715,1469,0.283371914,8.767836151,12.339850003,0.710530205,0.008292376,0.000000001,2006
81,0,4,6561,3888,2673,0.407407407,8.767857404,12.679700006,0.691487764,0.008292376,0.000000001,2107
108,2,3,11664,4082,7582,0.650034294,8.767862670,13.509775004,0.649001384,0.008292376,0.000000001,2141
144,4,2,20736,4089,16647,0.802806713,8.767862686,14.339850003,0.611433361,0.008292376,0.000000001,1976
162,1,4,26244,4089,22155,0.844192958,8.767862686,14.679700006,0.597278056,0.008292376,0.000000001,1902
216,3,3,46656,4089,42567,0.912358539,8.767862686,15.509775004,0.565312049,0.008292376,0.000000001,1735
324,2,4,104976,4089,100887,0.961048240,8.767862686,16.679700006,0.525660694,0.008292376,0.000000001,1488
432,4,3,186624,4089,182535,0.978089635,8.767862686,17.509775004,0.500741025,0.008292376,0.000000001,1311
648,3,4,419904,4089,415815,0.990262060,8.767862686,18.679700006,0.469379202,0.008292376,0.000000001,1054
1296,4,4,1679616,4089,1675527,0.997565515,8.767862686,20.679700006,0.423984037,0.008292376,0.000000001,614
