lag,autocorrelation,count
1,-0.0059041915,745342004098
2,-0.0815137826,735342004388
3,-0.0460413272,725342005730
4,0.0066469044,715342010208
5,-0.0359222257,705342023199
6,-0.0772632136,695342057533
7,-0.0569418119,685342132695
8,-0.0736915263,675342294238
9,-0.1300201102,665342605562
10,-0.1250046032,655343177371
11,-0.0947952892,645344223577
12,-0.1064570319,635345902999
13,-0.1304976183,625348657829
14,-0.1336396571,615352786281
15,-0.1077203409,605359014923
16,-0.1113806746,595368380099
17,-0.1188781290,585381372107
18,-0.1096316362,575399889628
19,-0.1001017064,565424469737
20,-0.1155259168,555457433374
